,id,Time,User,Tweet,No of retweet,likes,Country,Tweet source,Verified
396,1621097010995642368,2023-02-02 10:43:40+00:00,AdeDolittle,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,Wherever you're scared to go,Twitter for iPhone,False
397,1621096975994060801,2023-02-02 10:43:32+00:00,Oyiyaay,"RT @hartng: Dear everybody at @ZenithBank, what is going on upstairs? The number of negative reviews I have seen in recent times is alarmin…",95,0,"Lagos, Nigeria",Twitter for iPhone,False
398,1621096955559694339,2023-02-02 10:43:27+00:00,Oyiyaay,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,"Lagos, Nigeria",Twitter for iPhone,False
399,1621096933036277760,2023-02-02 10:43:22+00:00,MsKally,@theotherguy_rah @ZenithBank Those ones are busy flip flopping on the currency changes or instructing banks to give N10 out. Lol. They have no idea what they're doing.,0,0, Ontario,Twitter for Android,False
400,1621096928476860423,2023-02-02 10:43:20+00:00,Clayspink,"RT @femilonge: If you see any @gtbank, @ZenithBank or other Nigerian bank scam accounts, please report them to @Twitter  immediately so the…",8,0,Lagos,Twitter Web App,False
401,1621096908235149319,2023-02-02 10:43:16+00:00,Its_Kuzzie,"@ZenithBank Stop already
O need to transfer my funds out for use",0,1,NGA:ABV,Twitter for Android,False
402,1621096906654101504,2023-02-02 10:43:15+00:00,sigmaustin,@zenithbank what is happening to you guys? Sending notification for money you guys didn't refund? @ZenithBank is becoming the scum of banking in Nigeria! Your customer care service has gone worse. Every time your staff complain of network problem even in the banking hall,0,1,"Lekki Peninsula, Lagos",Twitter for Android,False
403,1621096868041089024,2023-02-02 10:43:06+00:00,ivraheem_,"RT @bashirelbashir: Ya Gaffar  🤲 have mercy on him and forgive him, Ya Raheem , make him steadfast when asked, forget his loneliness and ex…",2,0,Nigeria,Twitter for iPhone,False
404,1621096825817030656,2023-02-02 10:42:56+00:00,askdrada,"RT @hartng: Dear everybody at @ZenithBank, what is going on upstairs? The number of negative reviews I have seen in recent times is alarmin…",95,0,"Lagos, Nigeria",Twitter for iPhone,False
405,1621096753591373824,2023-02-02 10:42:39+00:00,Gr8ight,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,God's palms,Twitter for Android,False
406,1621096751829745665,2023-02-02 10:42:38+00:00,LekanPorche,"This is someone’s Father Wahala wahala wahala 😂😂😂everywhere don scatter😂😂the bank frustration is too much

#ZenithBank #oyetola #Tinubu Sultan of Sokoto   Wande coal    #Baddo Bola Tinubu https://t.co/FjqgWrZodN",4,14,,Twitter for iPhone,False
407,1621096745144029184,2023-02-02 10:42:37+00:00,LordmillionzSM,@swish_salt @UBAGroup @ZenithBank People are trying to hack accounts through insiders still working or have left the bank... Last week o received several otps don't authorized by form wema bank.. today is palmpay... You can see how frustrating kuda has been... The worst right now is zenith bank,0,1,,Twitter for Android,False
408,1621096702068367360,2023-02-02 10:42:26+00:00,Gr8ight,@ZenithBank @azeezt_abubakar @designbyMO @instablog9ja @cenbank Is it that you people can not see what his complaint is?,1,0,God's palms,Twitter for Android,False
409,1621096675971571712,2023-02-02 10:42:20+00:00,RosheTrader,"@Morris_Monye Ahhhh!!! Una still dey use @ZenithBank ? Suffer no dey tire you? 
Find a reliable fintech and use their services.",0,0,"Abuja, Nigeria",Twitter Web App,False
410,1621096634263441410,2023-02-02 10:42:10+00:00,LawalIbrahimO15,"@ZenithBank what you people doing are is unfair  ooo its been 4 days now,",0,1,"Lagos, Nigeria",Twitter for Android,False
411,1621096476649689088,2023-02-02 10:41:33+00:00,callmearhnniey,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,"Lagos, Nigeria",Twitter for Android,False
412,1621096363608899584,2023-02-02 10:41:06+00:00,mbk4real,@rahymahhh @ZenithBank Everyone is complaining about this bank😀,0,0,Nigeria,Twitter for iPhone,False
413,1621096297959952388,2023-02-02 10:40:50+00:00,LordmillionzSM,@swish_salt @UBAGroup @ZenithBank Baba you do transaction without otp... Better remove your card if possible,0,2,,Twitter for Android,False
414,1621096283909009409,2023-02-02 10:40:47+00:00,peman85,@ZenithBank Your Zenith AI ZIVA is completely useless,0,0,"Lagos, Nigeria",Twitter for Android,False
415,1621096277051342849,2023-02-02 10:40:45+00:00,IAduroja,RT @CountryCallObey: @Morris_Monye This is @ZenithBank. All the banks in Nigeria 🇳🇬 are not reliable at all. When you're giving them your m…,19,0,,Twitter for Android,False
416,1621095935895015424,2023-02-02 10:39:24+00:00,thechefriri,"Zenith bank just Dey so fucking frustrating, and I don say I no go bank with una again o, who send me go collect una debit card now, @ZenithBank customer service is the worst 🤦🏻‍♀️",0,2,"Lagos, Nigeria ",Twitter for iPhone,False
417,1621095934418624512,2023-02-02 10:39:23+00:00,Love_Rebirth0,"@bod_republic @ZenithBank 
I've not been able to access my account
I sent money to the account
I didn't get the credit and I couldn't withdraw it",0,1,,Twitter for Android,False
418,1621095909567385604,2023-02-02 10:39:18+00:00,jejelaiye_peter,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,,Twitter for Android,False
419,1621095907663167488,2023-02-02 10:39:17+00:00,thewhitefrills,RT @DuchessAnnie: If you tweet @ZenithBank the number of respond you get from scammers using fake Zenith bank name is alarming. Zenith bank…,10,0,"Lagos, Nigeria",Twitter for iPhone,False
420,1621095883864694784,2023-02-02 10:39:11+00:00,Skye_Blizz,@ZenithBank and @MTNNG can you reverse my money or credit my airtime purchase.,0,1,,Twitter for Android,False
421,1621095869184630785,2023-02-02 10:39:08+00:00,iamsuperwhales,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,In ur mention!! ,Twitter for Android,False
422,1621095853812244480,2023-02-02 10:39:04+00:00,princeabu27,@Queenestherose @Mr_Madox @ZenithBank @zenith Abeg which currency is kono??😊,0,0,"Derby, England",Twitter for iPhone,False
423,1621095824880197634,2023-02-02 10:38:57+00:00,Chicasa,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,The edge of reality,Twitter for iPhone,False
424,1621095804978200577,2023-02-02 10:38:53+00:00,Chicasa,"RT @hartng: Dear everybody at @ZenithBank, what is going on upstairs? The number of negative reviews I have seen in recent times is alarmin…",95,0,The edge of reality,Twitter for iPhone,False
425,1621095737747738624,2023-02-02 10:38:37+00:00,phaveechi,@bod_republic @ZenithBank the worst ever,0,0,"Enugu, Nigeria",Twitter for Android,False
426,1621095692969316352,2023-02-02 10:38:26+00:00,UgochukwuIrobi,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,somewhere in the world,Twitter for Android,False
427,1621095691509547009,2023-02-02 10:38:26+00:00,epharrel,@ZenithBank I have had enough of this rubbish from you guys...I am very sure I will injure somebody tomoro in your branch. ..mark my word. ..59600 debited for declined transaction.  Criminals and rogue working in zenith bank.  Awon oloriburuku..,0,1,Nigeria,Twitter for Android,False
428,1621095541898723328,2023-02-02 10:37:50+00:00,mejulu_c,@klasicalotb2 @ZenithBank @ZenithBank please I did a transfer since yet I have not received d money what is d meaning of diz,0,1,,Twitter for Android,False
429,1621095499423166464,2023-02-02 10:37:40+00:00,Oprahgabby,@ZenithBank Reply your DMs for God’s sake!!!!,0,1,"Lagos, Nigeria",Twitter for iPhone,False
430,1621095440220299264,2023-02-02 10:37:26+00:00,taiye__,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,"Lagos, Nigeria",Twitter for iPhone,False
431,1621095434054950914,2023-02-02 10:37:24+00:00,_bukason,@ZenithBank return my money mfs,0,1,Lagos,Twitter for iPhone,False
432,1621095397107064833,2023-02-02 10:37:15+00:00,goddex2000,"@ZenithBank @Abegund78879843 Abeg sort your selves out , your empathy no dey help the matter",0,0,,Twitter for Android,False
433,1621095389423349760,2023-02-02 10:37:13+00:00,O__OLA,"RT @femilonge: If you see any @gtbank, @ZenithBank or other Nigerian bank scam accounts, please report them to @Twitter  immediately so the…",8,0,Nigeria,Twitter for Android,False
434,1621095324730429441,2023-02-02 10:36:58+00:00,Unloyal_jea,@ZenithBank Abegi make una go fix una network,0,0,,Twitter for iPhone,False
435,1621095244485001218,2023-02-02 10:36:39+00:00,Andrew09648,"@ZenithBank please can you fix your network since yesterday i can't transfer money out of my account it keep saying unable to debit my account please, fix it is disappointing",0,1,"Lagos, Nigeria",Twitter for Android,False
436,1621095191191896064,2023-02-02 10:36:26+00:00,goddex2000,@ZenithBank What the hell zenith,0,1,,Twitter for Android,False
437,1621095189820628992,2023-02-02 10:36:26+00:00,HIGHSTAR27,"RT @hartng: Dear everybody at @ZenithBank, what is going on upstairs? The number of negative reviews I have seen in recent times is alarmin…",95,0,Worldwide. ,Twitter for Android,False
438,1621095039370727426,2023-02-02 10:35:50+00:00,walewest1000,"@Gifted_042 @ZenithBank Yes they did,but the issue is general,I can’t even get my statement of account",0,1,"Lagos, Nigeria",Twitter for iPhone,False
439,1621094984098402305,2023-02-02 10:35:37+00:00,Shalomm04,"@bod_republic @ZenithBank refused to refund my money after debiting me
Went to their bank up to five times, called them, sent them messages on IG, sent them an email NO SOLUTION",0,1,,Twitter for Android,False
440,1621094930587480064,2023-02-02 10:35:24+00:00,FOLUKEMIHBK,@ZenithBank Na  God go punish all of you for that bank,0,1,,Twitter for Android,False
441,1621094892104744960,2023-02-02 10:35:15+00:00,Blokab1,@Immunenigerian @ZenithBank I'm tired... I need to pay the workers and the reason I have the app is so that I don't spend my day in the bank.,0,2,Quick Guess... ,Twitter for Android,False
442,1621094871858647040,2023-02-02 10:35:10+00:00,epharrel,@ZenithBank It's like God want to punish you people. .am expecting my cash from now till tomorrow or else cutlass and jigsaw. .I go use destroy anybody that stand on my way tomorrow. .59600 since on Monday no response for declined transaction.  I have tolerated you people enough,0,2,Nigeria,Twitter for Android,False
443,1621094806696099842,2023-02-02 10:34:55+00:00,iykeypat,RT @iykeypat: @peresei @csmnig @ZenithBank @kudahelp_ng @joinkuda D thing that will chase me away from KUDA is dat as a customer I can't re…,2,0,"Lagos, Nigeria.",Twitter Web App,False
444,1621094690484531200,2023-02-02 10:34:27+00:00,bluprint7g,"@ZenithBank @ZenithBank @ZenithBank @ZenithBank
Must I call you out before my account will be credited.
 
Successful transfer into my account for 2days now has not reflected.

Why do you guys keep unlocking new levels of trashiness🤬🤬🤬",0,2,Nigeria,Twitter for Android,False
445,1621094602399784960,2023-02-02 10:34:06+00:00,Rifogho,ZENITH BANK @ZenithBank I have not been able to transfer for 2 days! You don't even care to respond to our complaints!!!! Why are you guys doing this to Nigerians????,0,2,,Twitter for Android,False
446,1621094553901236225,2023-02-02 10:33:54+00:00,MozohOfficial,RT @azeezt_abubakar: .@ZenithBank I noticed a total of 564 USD was missing from my Dom acc. The money is in my ledger balance but it's not…,771,0,Nigeria,Twitter for iPhone,False
447,1621094550516404230,2023-02-02 10:33:53+00:00,jameslikejc_,"@azeezt_abubakar @ZenithBank @instablog9ja @cenbank You don see wetin you dey find

#LeaveZenith",0,1,,Twitter for Android,False
